Luminous Silk Foundation|Giorgio Armani Beauty|Stick|Light|Radiant
Double Wear Stay-in-Place Foundation|Estée Lauder|Stick|Light|Matte
Your Skin But Better™ CC+™ Cream with SPF 50+|IT Cosmetics|Stick|Medium|Matte
Teint Idole Ultra Long Wear Foundation|Lancôme|Powder|Light|Matte
Original Foundation Broad Spectrum SPF 15|bareMinerals|Liquid|Light|Natural
Tinted Moisturizer Broad Spectrum SPF 20|Laura Mercier|Powder|Full|Radiant
Amazonian Clay 12-Hour Full Coverage Foundation SPF 15|tarte|Stick|Light|Matte
COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30|bareMinerals|Powder|Full|Natural
Naked Skin Weightless Ultra Definition Liquid Foundation|Urban Decay|Liquid|Light|Matte
Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free|Laura Mercier|Stick|Medium|Radiant
Power Fabric Longwear High Cover Foundation SPF 25|Giorgio Armani Beauty|Cream|Light|Radiant
Deluxe Original Foundation Moonlit Magic Edition|bareMinerals|Powder|Light|Natural
BAREPRO Performance Wear Powder Foundation|bareMinerals|Stick|Light|Matte
Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40|IT Cosmetics|Cream|Medium|Matte
Matte Foundation Broad Spectrum SPF 15|bareMinerals|Powder|Light|Natural
Water Foundation Broad Spectrum SPF 15 - Rainforest of the Sea™ Collection|tarte|Cream|Medium|Natural
Smooth Finish Foundation Powder|Laura Mercier|Stick|Light|Radiant
BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20|bareMinerals|Powder|Full|Natural
Flawless Fusion Ultra-Longwear Foundation|Laura Mercier|Cream|Light|Natural
Studio Skin 15 Hour Hydrating Foundation|Smashbox|Liquid|Light|Natural
BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen|tarte|Stick|Full|Natural
Even Better Makeup SPF 15|CLINIQUE|Stick|Medium|Matte
DUAL FINISH – Multi-tasking Longwear Powder Foundation|Lancôme|Stick|Medium|Natural
