Luminous Silk Foundation|Giorgio Armani Beauty|64.00|4.278|Foundations
Double Wear Stay-in-Place Foundation|Estée Lauder|42.00|4.440|Foundations
Your Skin But Better™ CC+™ Cream with SPF 50+|IT Cosmetics|38.00|4.066|Foundations
Teint Idole Ultra Long Wear Foundation|Lancôme|47.00|4.397|Foundations
Original Foundation Broad Spectrum SPF 15|bareMinerals|29.00|4.612|Foundations
Tinted Moisturizer Broad Spectrum SPF 20|Laura Mercier|45.00|4.417|Foundations
Amazonian Clay 12-Hour Full Coverage Foundation SPF 15|tarte|39.00|4.030|Foundations
COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30|bareMinerals|30.00|3.949|Foundations
Naked Skin Weightless Ultra Definition Liquid Foundation|Urban Decay|40.00|4.206|Foundations
Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free|Laura Mercier|45.00|4.324|Foundations
Power Fabric Longwear High Cover Foundation SPF 25|Giorgio Armani Beauty|64.00|4.154|Foundations
Deluxe Original Foundation Moonlit Magic Edition|bareMinerals|45.00|4.333|Foundations
BAREPRO Performance Wear Powder Foundation|bareMinerals|30.00|4.084|Foundations
Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40|IT Cosmetics|38.00|3.923|Foundations
Matte Foundation Broad Spectrum SPF 15|bareMinerals|29.00|4.382|Foundations
Water Foundation Broad Spectrum SPF 15 - Rainforest of the Sea™ Collection|tarte|39.00|3.904|Foundations
Smooth Finish Foundation Powder|Laura Mercier|48.00|4.265|Foundations
BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20|bareMinerals|34.00|4.298|Foundations
Flawless Fusion Ultra-Longwear Foundation|Laura Mercier|48.00|4.100|Foundations
Studio Skin 15 Hour Hydrating Foundation|Smashbox|36.00|4.217|Foundations
BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen|tarte|37.00|4.271|Foundations
Even Better Makeup SPF 15|CLINIQUE|29.00|4.180|Foundations
DUAL FINISH – Multi-tasking Longwear Powder Foundation|Lancôme|40.00|4.362|Foundations
All Nighter Liquid Foundation|Urban Decay|40.00|3.39|Foundations
Your Skin But Better™ CC+Illumination™ Cream with SPF 50+|IT Cosmetics|38.00|3.859|Foundations
Beyond Perfecting Foundation + Concealer|CLINIQUE|29.00|3.74|Foundations
Amazonian Clay Full Coverage Airbrush Foundation|tarte|36.00|4.150|Foundations
Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen|tarte|36.00|4.252|Foundations
Tinted Moisturizer SPF 20 - Illuminating|Laura Mercier|45.00|4.389|Foundations
Color Control Cushion Compact Broad Spectrum SPF 50+|AMOREPACIFIC|60.00|4.034|Foundations
Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+|IT Cosmetics|35.00|3.609|Foundations
Camera Ready BB Cream SPF 35|Smashbox|42.00|4.012|Foundations
HALO Hydrating Perfecting Powder|Smashbox|49.00|4.381|Foundations
’Hello Flawless!’ Powder Foundation|Benefit Cosmetics|34.00|4.329|Foundations
Skin Long-Wear Weightless Foundation SPF 15|Bobbi Brown|46.00|3.935|Foundations
Skin Foundation SPF 15|Bobbi Brown|50.00|4.08|Foundations
Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin|bareMinerals|29.00|4.341|Foundations
Stay-Matte Sheer Pressed Powder|CLINIQUE|27.00|4.345|Foundations
Ultimate Coverage 24-Hour Foundation|BECCA|44.00|3.953|Foundations
Silk Crème Oil Free Photo Edition Foundation|Laura Mercier|48.00|4.123|Foundations
Bye Bye Redness™ Neutralizing Correcting Cream|IT Cosmetics|32.00|4.202|Foundations
